number,name,category,asterisk2,asterisk3,biggerlinks,smallerlinks,fronttext,backtext,frontimage,backimage
"212","COLUMNS AT THE CORNERS","CONSTRUCTION","/100%","/100%","205, 208, 209, 210","213, 214, 216, 217, 219, 220, 226","We have already established the idea that the structural components of a building should be congruent with its social spaces.","On your rough building plan, draw a dot to represent a column at the corner of every room and in the corners formed by lesser spaces like thick walls and alcoves. Then transfer these dots onto the ground out on the site with stakes.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//212/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//212/back.gif"
"213","FINAL COLUMN DISTRIBUTION","CONSTRUCTION","/100%","/100%","190, 206, 206, 212","190, 216, 218, 218","How should the spacing of the secondary columns which stiffen the walls, vary with ceiling height, number of stories and the size of rooms?","Make column stiffeners furthest apart on the ground floor and closer and closer together as you go higher in the building, The exact column spacings for a particular building will depend on heights and loads and wall thicknesses. The numbers in the following table are for illustration only, but they show roughly what is needed.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//213/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//213/back.gif"
"214","ROOT FOUNDATIONS","CONSTRUCTION","/80%","/80%","104, 168, 212, 213","215, 216","The best foundations of all are the kinds of foundations which a tree has - where the entire structure of the tree simply continues below ground level, and creates a system entirely integral with the ground, in tension and compression.","Try to find a way of making foundations in which the columns themselves go right into the earth, and spread out there - so that the footing is continuous with the material of the column, and the column, with its footing, like a tree root, can resist tension and horizontal shear as well as compression.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//214/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//214/back.gif"
"215","GROUND FLOOR SLAB","CONSTRUCTION","/80%","/80%","168, 206, 212, 214","168, 219, 233, 248","The slab is the easiest, cheapest, and most natural way to lay a ground floor.","Build a ground floor slab, raised slightly - six or nine inches above the ground - by first building a low perimeter wall around the building, tied into the column foundations, and then filling it with rubble, gravel, and concrete.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//215/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//215/back.gif"
"216","BOX COLUMNS","CONSTRUCTION","/100%","/100%","213, 214","214, 217, 219, 226, 227","In all the world's traditional and historic buildings, the columns are expressive, beautiful, and treasured elements. Only in modern buildings have they become ugly and meaningless.","Make the columns in the form of filled hollow tubes, with a stiff tubular outer skin, and a solid core that is strong in compression. Give the skin of the column some tensile strength - preferably in the skin itself, but perhaps with reinforcing wires in the fill.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//216/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//216/back.gif"
"217","PERIMETER BEAMS","CONSTRUCTION","/100%","/80%","210, 216, 219","219, 227","If you conceive and build a room by first placing columns at the corners, and then gradually weaving the walls and ceiling round them, the room needs a perimeter beam around its upper edge.","Build a continuous perimeter beam around the room, strong enough to resist the horizontal thrust of the vault above, to spread the loads from upper stories onto columns, to tie the columns together, and to function as a lintel over openings in the wall. Make this beam continuous with columns, walls and floor above, and columns and walls below.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//217/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//217/back.gif"
"218","WALL MEMBRANE","CONSTRUCTION","/100%","/80%","206, 213, 216","213, 234, 235, 248","In organic construction the walls must take their share of the loads. They must work continuously with the structure on all four of their sides; and act to resist shear and bending, and take loads in compression.","Build the wall as a membrane which connects the columns and door frames and windows frames and is, at least in part, continuous with them. To build the wall, first put up an inner and an outer membrane, which can function as a finished surface; then pour the fill into the wall.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//218/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//218/back.gif"
"219","FLOOR-CEILING VAULTS","CONSTRUCTION","/100%","/100%","190, 206, 207, 210, 217","213, 214, 233, 235","We seek a ceiling vault shape which will support a live load on the floor above, form the ceiling of the room below, and generate as little bending and tension as possible so that compressive materials can be relied on.","Build floors and ceilings in the form of elliptical vaults which rise between 13 and 20 per cent of the shorter span. Use a type of construction which makes it possible to fit the vault to any shaped room after the walls and columns are in position: on no account use a prefabricated vault.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//219/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//219/back.gif"
"22","NINE PER CENT PARKING","TOWNS","/100%","/100%","11, 12, 14","97, 103","Very simply when the area devoted to parking is too great, it destroys the land.","Do not allow more than 9 per cent of the land in any given area to be used for parking. In order to prevent the ""bunching"" of parking in huge neglected areas, it is necessary for a town or a community to subdivide its land into ""parking zones"" no larger than 10 acres each and to apply the same rule in each zone.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//22/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//22/back.gif"
"220","ROOF VAULTS","CONSTRUCTION","/100%","/80%","118, 217, 219","231, 232, 234","What is the best shape for a roof?","Build the roof vault either as a cylindrical barrel vault, or like a pitched roof with a slight convex curve in each of the two sloping sides. Put in undulations along the vault, to make the shell more effective. The curvature of the main shell, and of the undulations, can vary with the span; the bigger the span, the deeper the curvature and undulations need to be.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//220/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//220/back.gif"
"221","NATURAL DOORS AND WINDOWS","CONSTRUCTION","/100%","/100%","134, 164, 180, 192, 196, 216, 217","222, 223, 239","Finding the right position for a window or a door is a subtle matter. But there are very few ways of building which take this into consideration.","On no account use standard doors or windows. Make each window a different size, according to its place. Do not fix the exact position or size of the door and window frames until the rough framing of the room has actually been built, and you can really stand inside the room and judge, by eye, exactly where you want to put them, and how big you want them. When you decide, mark the openings with strings. Make the windows smaller and smaller, as you go higher in the building.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//221/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//221/back.gif"
"222","LOW SILL","CONSTRUCTION","/80%","/80%","134, 180, 192, 221","201, 225, 236, 245","One of a window's most important functions is to put you in touch with the outdoors. If the sill is too high, it cuts you off.","When determining exact location of windows also decide which windows should have low sills. On the first floor, make the sills of windows which you plan to sit by between 12 and 14 inches high. On the upper stories, make them higher, around 20 inches.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//222/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//222/back.gif"
"223","DEEP REVEALS","CONSTRUCTION","/80%","/80%","159, 225","197, 225, 238, 240, 246","Windows with a sharp edge where the frame meets the wall create harsh, blinding glare, and make the rooms they serve uncomfortable.","Make the window frame a deep, splayed edge: about a foot wide and splayed at about 50 to 60 degrees to the plane of the window, so that the gentle gradient of daylight gives a smooth transition between the light of the window and the dark of the inner wall.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//223/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//223/back.gif"
"224","LOW DOORWAY","CONSTRUCTION","/80%","/80%","102, 110, 131, 196, 221","221, 225, 237, 249","High doorways are simple and convenient. But a lower door is often more profound.","Instead of taking it for granted that your doors are simply 6' 8"" rectangular openings to pass through, make at least some of your doorways low enough so that the act of going through the door is a deliberate thoughtful passage from one place to another. Especially at the entrance to a house, at the entrance to a private room, or a fire corner make the doorway lower than usual, perhaps even as low as 5"" 8"".","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//224/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//224/back.gif"
"225","FRAMES AS THICKENED EDGES","CONSTRUCTION","/100%","/100%","206, 208, 221","223, 236, 237, 239","Any homogeneous membrane which has holes in it will tend to rupture at the holes, unless the edges of the holes are reinforced by thickening.","Do not consider door and window frames as separate rigid structures which are inserted into holes in walls. Think of them instead as thickenings of the very fabric of the wall itself, made to protect the wall against the concentrations of stress which develop around openings. In line with this conception, build the frames as thickenings of the wall material, continuous with the wall itself, made of the same materials, and poured, or built up, in a manner which is continuous with the structure of the wall.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//225/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//225/back.gif"
"226","COLUMN PLACE","CONSTRUCTION","/100%","/80%","69, 119, 163, 166, 167, 174, 212","216, 227, 243, 245, 251","Thin columns, spindly columns, columns which take their shape from structural arguments alone, will never make a comfortable environment.","When a column is free standing, make it as thick as a man - at least 12 inches, preferably 16 inches: and form places around it where people can sit and lean comfortably: a step, a small seat built up against the column, or a space formed by a pair of columns.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//226/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//226/back.gif"
"227","COLUMN CONNECTIONS","CONSTRUCTION","/100%","/100%","119, 166, 167, 206, 216, 217, 225, 226","226, 249","The strength of a structure depends on the strength of its connections; and these connections are most critical of all at corners, especially at the corners where the columns meet the beams.","Build connections where the columns meet the beams. Any distribution of material which fills the corner up will do: fillets, gussets, column capitals, mushroom column, and most general of all, the arch, which connects column and beam in a continuous curve.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//227/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//227/back.gif"
"228","STAIR VAULT","CONSTRUCTION","/100%","/80%","133, 195, 206, 207","179, 198, 203, 219, 233, 248","Within a building technology which uses compressive materials as much as possible, and excludes the use of wood, it is natural to build stairs over a vaulted void, simply to save weight and materials.","Build a curved diagonal vault in the same way that you build your Floor-Ceiling Vaults (219). Once the vault hardens, cover it with steps of lightweight concrete, trowel-formed into position.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//228/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//228/back.gif"
"229","DUCT SPACE","CONSTRUCTION","/80%","/80%","206, 219","219, 230, 252","You never know where pipes and conduits are; they are buried somewhere in the walls; but where exactly are they?","Make ducts to carry hot air conduit, plumbing, gas, and other services in the triangular space, within the vault, around the upper edge of every room. Connect the ducts for different rooms by vertical ducts, in special chases, in the corners of rooms. Build outlets and panels at intervals along the duct for access to the conduits.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//229/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//229/back.gif"
"23","PARALLEL ROADS","TOWNS","/80%","/80%","11, 11, 13, 15, 17","11, 49, 50, 51, 52, 54, 55","The net-like pattern of streets is obsolete. Congestion is choking cities. Cars can average 60 miles per hour on freeways, but trips across town have an average speed of only 10 to 15 miles per hour.","Within a local transport area build no intersecting major roads at all; instead, build a system of parallel and alternating one-way roads to carry traffic to the Ring Roads (17). In existing towns, create this structure piecemeal, by gradually making major streets one-way and closing cross streets. Keep parallel roads at least 100 yards apart (to make room for neighborhoods between them) and no more than 300 or 400 yards apart.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//23/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//23/back.gif"
"230","RADIANT HEAT","CONSTRUCTION","/100%","/80%","218, 219, 229","202, 219, 229","This pattern is a biologically precise formulation of the intuition that sunlight and a hot blazing fire are the best kinds of heat.","Choose a way of heating your space-especially those rooms where people are going to gather when it is cold that is essentially a radiative process, where the heat comes more from radiation than convection.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//230/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//230/back.gif"
"231","DORMER WINDOWS","CONSTRUCTION","/100%","/80%","117, 180, 220","179, 180, 208, 212, 216, 217, 218, 219, 220, 225, 236, 239","We know from our discussion of Sheltering Roof (117) that the top story of the building should be right inside the roof, surrounded by it.","Wherever you have windows in the roof, make dormer windows which are high enough to stand in, and frame them like any other alcoves in the building.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//231/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//231/back.gif"
"232","ROOF CAPS","CONSTRUCTION","/80%","/80%","118, 220","249","There are few cases in traditional architecture where builders have not used some roof detail to cap the building with an ornament.","Choose a natural way to cap the roof - some way which is in keeping with the kind of construction, and the meaning of the building. The caps may be structural; but their main function is decorative - they mark the top - they mark the place where the roof penetrates the sky.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//232/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//232/back.gif"
"233","FLOOR SURFACE","CONSTRUCTION","/100%","/100%","127, 215, 219","248, 249, 250","We want the floor to be comfortable, warm to the touch, inviting. But we also want it to be hard enough to resist wear, and easy to clean.","Zone the house, or building, into two kinds of zones: public zones, and private or more intimate zones. Use hard materials like waxed, red polished concrete, tiles, or hardwood in the public zones. In the more intimate zone, use an underfloor of soft materials, like felt, cheap nylon carpet, or straw matting, and cover it with cloths, and pillows, and carpets, and tapestries. Make a clearly marked edge between the two - perhaps even a step - so that people can take their shoes off when they pass from the public to the intimate.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//233/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//233/back.gif"
"234","LAPPED OUTSIDE WALLS","CONSTRUCTION","/80%","/80%","218, 220","","The main function of a building's outside wall is to keep weather out. It can only do this if the materials are joined in such a way that they cooperate to make impervious joints.","Build up the exterior wall surface with materials that are lapped against the weather: either ""internally lapped,"" like exterior plaster, or more literally lapped, like shingles and boards and tiles. In either case, choose a material that is easy to repair in little patches, inexpensively, so that little by little, the wall can be maintained in good condition indefinitely.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//234/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//234/back.gif"
"235","SOFT INSIDE WALLS","CONSTRUCTION","/100%","/80%","218, 219","218, 219, 240","A wall which is too hard or too cold or too solid is unpleasant to touch; it makes decoration impossible, and creates hollow echoes.","Solution","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//235/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//235/back.gif"
"236","WINDOWS WHICH OPEN WIDE","CONSTRUCTION","/100%","/80%","180, 192, 221","239","Many buildings nowadays have no opening windows at all; and many of the opening windows that people do build, don't do the job that opening windows ought to do.","Solution","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//236/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//236/back.gif"
"237","SOLID DOORS WITH GLASS","CONSTRUCTION","/80%","/80%","135, 194, 196, 224","218, 239","An opaque door makes sense in a vast house or palace, where every room is large enough to be a world unto itself; but in a small building, with small rooms, the opaque door is only very rarely useful.","As often as possible build doors with glazing in them, so, that the upper half at least, allows you to see through them. At the same time, build the doors solid enough, so that they give acoustic isolation and make a comfortable ""thunk"" when they are closed.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//237/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//237/back.gif"
"238","FILTERED LIGHT","CONSTRUCTION","/100%","/80%","221, 223","239, 244, 246, 250","Light filtered through leaves, or tracery, is wonderful. But why?","Where the edge of a window or the overhanging eave of a roof is silhouetted against the sky, make a rich, detailed tapestry of light and dark, to break up the light and soften it.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//238/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//238/back.gif"
"239","SMALL PANES","CONSTRUCTION","/100%","/100%","194, 221, 225, 236, 237","238, 240","When plate glass windows became possible, people thought that they would put us more directly in touch with nature. In fact, they do the opposite.","Solution:","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//239/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//239/back.gif"
"24","SACRED SITES","TOWNS","/100%","/80%","","59, 66, 134, 171, 176","People cannot maintain their spiritual roots and their connections to the past if the physical world they live in does not also sustain these roots.","Whether the sacred sites are large or small, whether they are at the center of the towns, in neighborhoods, or in the deepest countryside, establish ordinances which will protect them absolutely so that our roots in the visible surroundings cannot be violated.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//24/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//24/back.gif"
"240","HALF-INCH TRIM","CONSTRUCTION","/100%","/100%","216, 217, 219, 225, 234, 235, 249","249, 250","Totalitarian, machine buildings do not require trim because they are precise enough to do without. But they buy their precision at a dreadful price: by killing the possibility of freedom in the building plan.","Wherever two materials meet, place a piece of trim over the edge of the connection. Choose the pieces of trim so that the smallest piece, in each component, is always of the order of 1/2 inch wide. The trim can be wood, plaster, terracotta....","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//240/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//240/back.gif"
"241","SEAT SPOTS","CONSTRUCTION","/100%","/100%","121, 124, 140, 160, 161, 163, 168, 174, 176","125, 242, 243","Where outdoor seats are set down without regard for view and climate, they will almost certainly be useless.","Choosing good spots for outdoor seats is far more important than building fancy benches. Indeed, if the spot is right, the most simple kind of seat is perfect.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//241/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//241/back.gif"
"242","FRONT DOOR BENCH","CONSTRUCTION","/100%","/80%","119, 130, 155, 160, 161, 168, 241, 241","241, 242, 243, 245","People like to watch the street.","Build a special bench outside the front door where people from inside can sit comfortably for hours on end and watch the world go by. Place the bench to define a half-private domain in front of the house. A low wall, planting, a tree, can help to create the same domain.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//242/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//242/back.gif"
"243","SITTING WALL","CONSTRUCTION","/100%","/100%","51, 100, 106, 111, 114, 121, 124, 140, 163, 165, 166, 172","241, 245, 248, 249","If you have also marked the places where it makes sense to build seats - Seat Spots (241), Front Door Bench (242) - you can kill two birds with one stone by using the walls as seats which help enclose the outdoor space wherever its positive character is weakest.","Surround any natural outdoor area, and make minor boundaries between outdoor areas with low walls, about 16 inches high, and wide enough to sit on, at least 12 inches wide.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//243/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//243/back.gif"
"244","CANVAS ROOFS","CONSTRUCTION","/100%","/80%","103, 118, 119, 140, 163, 166, 174, 180, 238","238, 249, 250","There is a very special beauty about tents and canvas awnings. The canvas has a softness, a suppleness, which is in harmony with wind and light and sun. A house or any building built with some canvas will touch all the elements more nearly than it can when it is made only with hard conventional materials.","Build canvas roofs and walls and awnings wherever there are spaces which need softer light or partial shade in summer, or partial protection from mist and dew in autumn and winter. Build them to fold away, with ropes or wires to pull them, so that they can easily be opened.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//244/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//244/back.gif"
"245","RAISED FLOWERS","CONSTRUCTION","/100%","/80%","120, 125, 160, 169, 173, 243","","Flowers are beautiful along the edges of paths, buildings, outdoor rooms - but it is just in these places that they need the most protection from traffic. Without some protection they cannot easily survive.","Soften the edges of buildings, paths, and outdoor areas with flowers. Raise the flower beds so that people can touch the flowers, bend to smell them, and sit by them. And build the flower beds with solid edges, so that people can sit on them, among the flowers too.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//245/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//245/back.gif"
"246","CLIMBING PLANTS","CONSTRUCTION","/80%","/80%","174, 238","","A building finally becomes a part of its surroundings when the plants grow over parts of it as freely as they grow along the ground.","On sunny walls, train climbing plants to grow up round the openings in the wall-the windows, doors, porches, arcades, and trellises.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//246/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//246/back.gif"
"247","PAVING WITH CRACKS BETWEEN THE STONES","CONSTRUCTION","/100%","/100%","51, 121, 140, 163, 168, 169","168, 248","Asphalt and concrete surfaces outdoors are easy to wash down, but they do nothing for us, nothing for the paths, and nothing for the rainwater and plants.","On paths and terraces, lay paving stones with a 1 inch crack between the stones, so that grass and mosses and small flowers can grow between the stones. Lay the stones directly into earth, not into mortar, and, of course, use no cement or mortar in between the stones.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//247/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//247/back.gif"
"248","SOFT TILE AND BRICK","CONSTRUCTION","/80%","/80%","168, 207, 233, 243, 247","249, 250","How can a person feel the earth, or time, or any connection with his surroundings, when he is walking on the hard mechanical wash-easy surfaces of concrete, asphalt, hard-fired architectural paving bricks, or artificially concocted mixes like terrazzo.","Use bricks and tiles which are soft baked, low fired - so that they will wear with time, and show the marks of use.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//248/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//248/back.gif"
"249","ORNAMENT","CONSTRUCTION","/100%","/100%","110, 160, 168, 173, 180, 196, 225, 226, 227, 232, 235, 243","218, 225, 234, 235, 240, 248, 250, 253","All people have the instinct to decorate their surroundings.","Search around the building, and find those edges and transitions which need emphasis or extra binding energy. Corners, places where materials meet, door frames, windows, main entrances, the place where one wall meets another, the garden gate, a fence - all these are natural places which call out for ornament.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//249/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//249/back.gif"
"25","ACCESS TO WATER","TOWNS","/100%","/80%","24","7, 23, 31, 103","People have a fundamental yearning for great bodies of water. But the very movement of the people toward the water can also destroy the water.","When natural bodies of water occur near human settlements, treat them with great respect. Always preserve a belt of common land, immediately beside the water. And allow dense settlements to come right down to the water only at infrequent intervals along the water's edge.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//25/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//25/back.gif"
"250","WARM COLORS","CONSTRUCTION","/100%","/100%","207, 233, 235","240, 244, 248, 249, 249, 252","The greens and greys of hospitals and office corridors are depressing and cold. Natural wood, sunlight, bright colors are warm. In some way, the warmth of the colors in a room makes a great deal of difference between comfort and discomfort.","Choose surface colors which, together with the color of the natural light, reflected light, and artificial lights, create a warm light in the rooms.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//250/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//250/back.gif"
"251","DIFFERENT CHAIRS","CONSTRUCTION","/80%","/80%","142, 185, 202","252","People are different sizes; they sit in different ways. And yet there is a tendency in modern times to make all chairs alike.","Never furnish any place with chairs that are identically the same. Choose a variety of different chairs, some big, some small, some softer than others, some rockers, some very old, some new, with arms, without arms, some wicker, some wood, some cloth.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//251/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//251/back.gif"
"252","POOLS OF LIGHT","CONSTRUCTION","/100%","/100%","129, 130, 146, 179, 182, 183, 185, 250, 251","250","Uniform illumination - the sweetheart of the lighting engineers - serves no useful purpose whatsoever. In fact, it destroys the social nature of space, and makes people feel disoriented and unbounded.","Place the lights low, and apart, to form individual pools of light which encompass chairs and tables like bubbles to reinforce the social character of the spaces which they form. Remember that you can't have pools of light without the darker places in between.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//252/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//252/back.gif"
"253","THINGS FROM YOUR LIFE","CONSTRUCTION","/100%","/80%","","","""Decor"" and the conception of ""interior design"" have spread so widely, that very often people forget their instinct for the things they really want to keep around them.","Do not be tricked into believing that modern decor must be slick or psychedelic, or ""natural"" or ""modern art,"" or ""plants"" or anything else that current taste-makers claim. It is most beautiful when it comes straight from your life - the things you care for, the things that tell your story.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//253/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//253/back.gif"
"26","LIFE CYCLE","TOWNS","/100%","/80%","12, 14","35, 40, 41, 44, 57, 65, 66, 70, 75, 79, 83, 84, 85, 86, 153, 154, 155, 156, 187","All the world's a stage, And all the men and women merely players: They have their exits and their entrances; And one man in his time plays many parts, His acts being seven ages.","Make certain that the full cycle of life is represented and balanced in each community. Set the ideal of a balanced life cycle as a principal guide for the evolution of communities. This means: 1. That each community include a balance of people at every stage of the life cycle, from infants to the very old; and include the full slate of settings needed for all these stages of life; 2. That the community contain the full slate of settings which best mark the ritual crossing of life from one stage to the next.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//26/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//26/back.gif"
"27","MEN AND WOMEN","TOWNS","/80%","/80%","12, 14, 26","9, 141","The world of a town in the 1970's is split along sexual lines. Suburbs are for women, workplaces for men; kindergartens are for women, professional schools for men; supermarkets are for women, hardware stores for men.","Make certain that each piece of the environment - each building, open space, neighborhood, and work community - is made with a blend of both men's and women's instincts. Keep this balance of masculine and feminine in mind for every project at every scale, from the kitchen to the steel mill.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//27/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//27/back.gif"
"28","ECCENTRIC NUCLEUS","TOWNS","/100%","/80%","10, 12, 13, 21","24, 29, 30, 31, 32, 59, 71","The random character of local densities confuses the identity of our communities, and also creates a chaos in the pattern of land use.","Encourage growth and the accumulation of density to form a clear configuration of peaks and valleys according to the following rules:","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//28/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//28/back.gif"
"29","DENSITY RINGS","TOWNS","/100%","/80%","8, 12, 13, 28, 28","31, 37, 37, 38, 39, 61, 123","People want to be close to shops and services, for excitement and convenience. And they want to be away from services, for quiet and green. The exact balance of these two desires varies from person to person, but in the aggregate it is the balance of these two desires which determines the gradient of housing densities in a neighborhood.","Once the nucleus of a community is clearly placed - define rings of decreasing local housing density around this nucleus. If you cannot avoid it, choose the densities from the foregoing table. But, much better, if you can possibly manage it, play the density rings game, to obtain these densities, from the intuitions of the very people who are going to live in the community.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//29/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//29/back.gif"
"3","CITY COUNTRY FINGERS","TOWNS","/100%","/100%","2","4, 6, 7, 8","Continuous sprawling urbanization destroys life, and makes cities unbearable. But the sheer size of cities is also valuable and potent.","Keep interlocking fingers of farmland and urban land, even at the center of the metropolis. The urban fingers should never be more than 1 mile wide, while the farmland fingers should never be less than 1 mile wide.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//3/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//3/back.gif"
